Nombre de Empresa / Razón Social,Municipio / Delegación,Teléfono,Actividad Empresarial o Profesional,Tamaño de Empresa
Boutique Wapa,Santa Catarina,8110076733,Venta de Ropa,C
Accesorios Lentes Moños,General Escobedo,8110109413,Venta de Ropa,C
Shek Unique Women,San Nicolás De Los Garza,8110156387,Venta de Ropa,C
Ted Baker,San Pedro Garza García,8110156524,Venta de Ropa,C
"Accesorios R S,Tienda De Ropa",San Pedro Garza García,8110180301,Venta de Ropa,C
Venta   De Ropa Americana Sandy,Cadereyta Jiménez,8110226398,Venta de Ropa,C
Bliss,Monterrey,8110236602,Venta de Ropa,C
Woodstock Gift Shop,Monterrey,8110242020,Venta de Ropa,C
Boutique Miriga,Guadalupe,8110268235,Venta de Ropa,C
Fashion Boutique,San Nicolás De Los Garza,8110276633,Venta de Ropa,C
Tienda De Bolasa Y Accesorios Para Dama A Y K Bolsas,Monterrey,8110284242,Venta de Ropa,C
El Caracol,Santiago,8110288887,Venta de Ropa,C
Tere Boutique,General Escobedo,8110310138,Venta de Ropa,C
Street Silver,Monterrey,8110311760,Venta de Ropa,B
Venta De Ropa Nueva,Guadalupe,8110325908,Venta de Ropa,C
De Todo Un Poco,Guadalupe,8110331448,Venta de Ropa,C
Butique Y Regalos Mia,Apodaca,8110336050,Venta de Ropa,C
Luxor Digital,Guadalupe,8110340141,Venta de Ropa,C
The Black Butterfly Chop,Monterrey,8110349732,Venta de Ropa,C
Veintiuno Boutique,Monterrey,8110452704,Venta de Ropa,C
"Comercio Al Por Menor De Ropa, Excepto De Bebé Y Lencería",San Pedro Garza García,8110520487,Venta de Ropa,C
Marlu,Monterrey,8110523935,Venta de Ropa,C
Tommy Hilfiger Outlet Monterrey,General Escobedo,8110589176,Venta de Ropa,A
"Comercio Al Por Menor De Ropa, Excepto De Bebé Y Lencería",Apodaca,8110661229,Venta de Ropa,C
Novedades Y Accesorios Mia,San Nicolás De Los Garza,8110693175,Venta de Ropa,C
Union De Artesanos De Nuevo Leon,Monterrey,8110721960,Venta de Ropa,C
Venta Por Internet,Santa Catarina,8110723065,Venta de Ropa,C
Paranoia,Monterrey,8110733637,Venta de Ropa,C
Kiut Kids,Monterrey,8110750357,Venta de Ropa,C
Sigue Uniformes,Monterrey,8110776911,Venta de Ropa,C
El Regreso,Monterrey,8110789444,Venta de Ropa,C
Fashion Girl,Guadalupe,8110801732,Venta de Ropa,C
Jacob,San Pedro Garza García,8110801950,Venta de Ropa,C
Bonetera Monterrey,Monterrey,8110882623,Venta de Ropa,C
Liz Minelli,Apodaca,8110900100,Venta de Ropa,C
Bolsas Fashion La Rosa,Apodaca,8110900123,Venta de Ropa,C
Tutti Jeans,Apodaca,8110900569,Venta de Ropa,C
Maria Luisa Collection,Apodaca,8110900595,Venta de Ropa,C
Lexmi Boutique Caballero,San Nicolás De Los Garza,8110908052,Venta de Ropa,C
Marco Viali,San Nicolás De Los Garza,8110908172,Venta de Ropa,B
Moss- Online,San Nicolás De Los Garza,8110908320,Venta de Ropa,C
Rv Janess,Monterrey,8110914253,Venta de Ropa,C
Novades Axel,Guadalupe,8110920065,Venta de Ropa,C
Max Rebo,Guadalupe,8110937245,Venta de Ropa,C
Nine West,San Pedro Garza García,8110950488,Venta de Ropa,C
Loretta Boutique,Monterrey,8110950650,Venta de Ropa,C
Eme Style,Monterrey,8110951096,Venta de Ropa,C
Comic,Monterrey,8110951514,Venta de Ropa,C
Piny Bory Moda Infantil,Monterrey,8110951525,Venta de Ropa,C
Zara,Monterrey,8110952800,Venta de Ropa,B
Massimo Dutti,Monterrey,8110952810,Venta de Ropa,A
Julio Plaza Cumbres Monterrey,Monterrey,8110952826,Venta de Ropa,C
Colorspot,Monterrey,8110970649,Venta de Ropa,C
Steven Fashion,Monterrey,8110995008,Venta de Ropa,B
Alabina,Monterrey,8111000023,Venta de Ropa,C
Express Textiles Y Promocionales,Monterrey,8111000068,Venta de Ropa,C
Bielayanoch,Monterrey,8111000128,Venta de Ropa,C
One,Monterrey,8111000150,Venta de Ropa,C
Grupo Imasu Sa De Cv,Monterrey,8111000813,Venta de Ropa,C
"Huso De Plata, S.A. De C.V.",Monterrey,8111002499,Venta de Ropa,C
Fresh,Monterrey,8111002777,Venta de Ropa,C
Boutique Planet Girl,San Nicolás De Los Garza,8111030250,Venta de Ropa,C
Ropa Y Novedades,Monterrey,8111154918,Venta de Ropa,C
Alfredo Ropa Para Hombre,Cadereyta Jiménez,8111172199,Venta de Ropa,C
Bree Shop,San Nicolás De Los Garza,8111190796,Venta de Ropa,C
Atrevida,Monterrey,8111193037,Venta de Ropa,C
Mia,Monterrey,8111246110,Venta de Ropa,C
Loveme,Santiago,8111283741,Venta de Ropa,C
V&G Industrial Supplies De México,Monterrey,8111339749,Venta de Ropa,C
